SITUAÇÃO;PERIODO LETIVO;QUANTIDADE
trancado;2008;10
trancado;2009;10
trancado;2010;13
trancado;2011;11
trancado;2012;5
trancado;2013;5
trancado;2014;11
trancado;2015;7
trancado;2016;9
trancado;2017;8
trancado;2018;7
trancado;2019;5
trancado;2020;3
trancado;2021;17
trancado;2022;3
trancado;2023;4
trancado;2024;6
trancado;2025;5
trancado;2026;2
jubilado;2008;1
jubilado;2009;6
jubilado;2010;8
jubilado;2011;1
jubilado;2012;1
jubilado;2017;1
jubilado;2019;1
jubilado;2020;1
Formado;2008;14
Formado;2009;9
Formado;2010;11
Formado;2011;14
Formado;2012;12
Formado;2013;11
Formado;2014;11
Formado;2015;12
Formado;2016;12
Formado;2017;6
Formado;2018;7
Formado;2019;7
Formado;2020;16
Formado;2021;18
Formado;2022;7
Formado;2023;24
Formado;2024;18
Cancelado por abandono;2008;24
Cancelado por abandono;2009;18
Cancelado por abandono;2010;37
Cancelado por abandono;2011;30
Cancelado por abandono;2012;16
Cancelado por abandono;2013;21
Cancelado por abandono;2014;23
Cancelado por abandono;2015;29
Cancelado por abandono;2016;16
Cancelado por abandono;2017;26
Cancelado por abandono;2018;12
Cancelado por abandono;2019;14
Cancelado por abandono;2020;12
Cancelado por abandono;2021;20
Cancelado por abandono;2022;19
Cancelado por abandono;2023;19
Cancelado por abandono;2024;19
Cancelado por abandono;2025;1
Cancelado;2008;5
Cancelado;2009;7
Cancelado;2010;10
Cancelado;2011;4
Cancelado;2012;6
Cancelado;2013;10
Cancelado;2014;12
Cancelado;2015;14
Cancelado;2016;7
Cancelado;2017;5
Cancelado;2018;6
Cancelado;2019;11
Cancelado;2020;7
Cancelado;2021;8
Cancelado;2022;6
Cancelado;2023;4
Cancelado;2024;7
Cancelado;2025;2
abandono;2008;13
abandono;2009;27
abandono;2010;28
abandono;2011;12
abandono;2012;22
abandono;2013;25
abandono;2014;29
abandono;2015;19
abandono;2016;18
abandono;2017;12
abandono;2018;12
abandono;2019;13
abandono;2020;12
abandono;2021;23
abandono;2022;17
abandono;2023;23
abandono;2024;16
abandono;2025;6
cursando;2025;42
